Family,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
,Certhia himalayana ,LC,LC,w,5
Sittidae,Sitta cinnamoventris ,LC,LC,r,1
,Sitta himalayensis ,LC,LC,r,4
,Sitta frontalis ,LC,LC,r,2
,Tichodroma muraria ,LC,LC,w,4
Cinclidae,Cinclus pallasii ,LC,LC,w,3
Sturnidae,Sturnus vulgaris ,LC,LC,w,3
,Pastor roseus ,LC,LC,w,4
,Gracupica contra ,LC,LC,r,1
,Sturnia pagodarum ,LC,LC,r,3
,Sturnia malabarica ,LC,LC,r,1
,Acridotheres tristis ,LC,LC,r,1
,"Acridotheres
ginginianus",LC,LC,r,2
,Acridotheres fuscus ,LC,LC,r,1
,"Saroglossa
spilopterus",LC,LC,s,3
,Gracula religiosa ,LC,LC,r,2
Turdidae,Zoothera dauma ,LC,LC,W,3
,Zoothera monticola ,LC,LC,W,4
,Geokichla citrina ,LC,LC,r,3
,Turdus viscivorus ,LC,LC,w,4
,Turdus boulboul ,LC,LC,w,3
,Turdus unicolor ,LC,LC,w,4
,Turdus maximus ,LC,LC,w,5
,Turdus albocinctus ,LC,LC,w,4
,Turdus atrogularis ,LC,LC,w,1
,Turdus ruficollis ,LC,LC,w,3
Muscicapidae,Copsychus saularis ,LC,LC,r,1
,Saxicoloides fulicatus ,LC,LC,r,2
,Kittacincla malabarica ,LC,LC,r,2
,Muscicapa sibirica ,LC,LC,w,2
,Muscicapa dauurica ,LC,LC,w,4
,Niltava sundara ,LC,LC,w,3
,Niltava macgrigoriae ,LC,LC,w,3
,Niltava grandis ,NT ,LC,r,5
,Eumyias thalassinus ,LC,LC,w,2
,Cyornis unicolor ,LC,LC,r,4
,Cyornis poliogenys ,LC,LC,r,2
,Cyornis tickelliae ,LC,LC,r,3
,Cyornis rubeculoides ,LC,LC,s,3
,"Brachypteryx
leucophris",LC,LC,w,5
,Brachypteryx cruralis ,LC,LC,w,5
,"Hodgsonius
phaenicuroides",LC,LC,w,5
,Cyanecula svecica ,LC,LC,w,2
,Calliope calliope ,LC,LC,w,3
,Calliope pectoralis ,LC,LC,w,3
,Myiomela leucura ,LC,LC,w,3
,Enicurus scouleri ,LC,LC,r,3
,Enicurus schistaceus ,LC,LC,r,3
,Enicurus immaculatus ,LC,LC,r,2
,Myophonus caeruleus ,LC,LC,r,2
,Ficedula erithacus ,NT ,LC,r,4
,Ficedula tricolor ,LC,LC,r,2
,Ficedula hyperythra ,LC,LC,w,3
,Ficedula strophiata ,LC,LC,w,3
,Ficedula superciliaris ,LC,LC,w,4
,Ficedula westermanni ,LC,LC,r,3
,Ficedula albicilla ,LC,LC,r,1
,Phoenicurus frontalis ,LC,LC,w,4
,"Phoenicurus
leucocephalus",LC,LC,r,2
,"Phoenicurus
fuliginosus",LC,LC,r,2
,Phoenicurus ochruros ,LC,LC,w,2
,"Phoenicurus
hodgsoni",LC,LC,w,4
,"Monticola
cinclorhyncha",LC,LC,s,3
,Monticola rufiventris ,LC,LC,w,4
,Saxicola leucurus ,NT ,LC,r,1
,Monticola solitarius ,LC,LC,w,3
,Saxicola jerdoni ,CR ,LC,r,4
,Saxicola ferreus ,LC,LC,w,3
,Saxicola insignis ,VU ,EN ,w,5
,Saxicola caprata ,LC,LC,r,1
,Saxicola torquatus ,LC,LC,r,1
,"Oenanthe
chrysopygia",LC,LC,v,2
,Oenanthe deserti ,LC,LC,w,4
,Oenanthe fusca ,LC,LC,w,3
Chloropseidae,Chloropsis aurifrons ,LC,LC,r,2
,Chloropsis hardwickii ,LC,LC,r,2
Dicaeidae,Dicaeum agile ,LC,LC,r,2
,Dicaeum erythrorhynchos,LC,LC,r,3
,Dicaeum ignipectus ,LC,LC,r,3
Nectariniidae,"Arachnothera
longirostra",LC,LC,r,5
,Arachnothera magna ,LC,LC,r,3
,"Chalcoparia
singalensis",LC,LC,r,3
,Cinnyris asiaticus ,LC,LC,r,1
,Aethopyga ignicauda ,LC,LC,r,4
,Aethopyga nipalensis ,LC,LC,r,3
,Aethopyga siparaja ,LC,LC,r,2
Ploceidae,Ploceus benghalensis ,VU ,LC,r,3
,Ploceus philippinus ,NT ,LC,r,1
Estrildidae,Amandava amandava ,NT ,LC,r,2
,Euodice malabarica ,LC,LC,r,3
,Lonchura striata ,LC,LC,r,3
,Lonchura punctulata ,LC,LC,r,1
,Lonchura malacca ,LC,LC,r,3
Passeridae,Passer domesticus ,LC,LC,r,1
,Passer montanus ,LC,LC,r,3
,"Gymnoris
xanthocollis",LC,LC,r,1
Motacillidae,Anthus trivialis ,LC,LC,w,3
,Anthus hodgsoni ,LC,LC,w,1
,Anthus roseatus ,LC,LC,w,1
,Anthus spinoletta ,LC,LC,w,4
,Anthus richardi ,LC,LC,r,2
,Anthus rufulus ,LC,LC,r,1
,Motacilla flava ,LC,LC,w,2
,Motacilla cinerea ,LC,LC,w,3
,Motacilla citreola ,LC,LC,w,1
,"Motacilla
maderaspatensis",LC,LC,r,1
,Motacilla alba ,LC,LC,w,1
,"Dendronanthus
indicus",LC,LC,v,2
Fringillidae,Carpodacus erythrinus,LC,LC,w,2
,Agraphospiza rubescens,LC,LC,w,5
,Chloris spinoides ,LC,LC,w,3
,Carduelis carduelis ,LC,LC,w,5
Emberizidae,Emberiza lathami ,LC,LC,w,2
,Emberiza melanocephala,VU ,LC,w,4
,Emberiza aureola ,CR ,CR ,w,3
,Emberiza pusilla ,VU ,LC,w,4
,Emberiza spodocephala,VU ,LC,w,3
